CDRDATE,BMO_ATTEMPT,BMT_ATTEMPT,DIG_ATTEMPT,SMO_ATTEMPT,SMT_ATTEMPT
21:47,327,284,302,41,16452
21:48,327,314,289,49,16391
21:49,325,332,278,45,18087
21:50,320,313,300,51,17816
21:51,330,309,290,44,17835
21:52,343,295,307,44,18674
21:53,299,313,300,44,19071
21:54,327,307,287,65,18433
21:55,337,276,277,38,18322
21:56,329,294,275,44,17820
21:57,298,278,278,37,18267
21:58,327,298,316,39,18639
21:59,289,266,292,39,18025
22:00,298,245,269,45,18435
22:01,339,340,194,50,17714
22:02,311,343,207,40,19207
22:03,287,288,163,67,17506
22:04,256,223,124,40,11667
22:05,150,176,126,22,10147
22:06,155,231,107,30,10931
