CDR_DATE,CDR_HOUR,ERR_5012,ERR_6000,ERR_5000,ERR_6000,ERR_5005,ERR_5004,ERR_83,ERR_601,ERR_940
16-03-2024,0,0,0,0,0,0,0,0,62,0
16-03-2024,1,0,0,341,0,0,0,1,38,12604
16-03-2024,2,788,0,2281,0,0,0,0,24,23539
16-03-2024,3,9,0,190,0,0,0,0,28,559
16-03-2024,4,0,0,0,0,0,0,0,76,0
16-03-2024,5,0,0,0,0,0,0,0,34,0
16-03-2024,6,0,0,0,0,0,0,0,36,0
16-03-2024,7,0,0,0,0,0,0,0,63,0
16-03-2024,8,0,0,0,0,0,0,8,107,1
16-03-2024,9,0,0,0,0,0,0,0,89,0
16-03-2024,10,0,0,0,0,0,0,0,74,0
16-03-2024,11,0,0,0,0,2,0,0,97,0
16-03-2024,12,0,0,0,0,2,0,0,120,0
16-03-2024,13,0,0,0,0,0,0,0,198,0
16-03-2024,14,0,0,0,0,1,0,0,74,0
16-03-2024,15,0,0,0,0,1,0,0,94,0
16-03-2024,16,0,65,0,65,2,0,0,91,0
16-03-2024,17,0,0,0,0,0,0,0,86,0
16-03-2024,18,0,0,0,0,0,0,0,51,0
16-03-2024,19,0,0,0,0,0,0,0,0,0
